path,airport,language,name,shortDesc,category,type,terminal,level,lat,long,locationId,squareImage,banner,,,
,klia,en,RESTORAN ALI MAJU,Enjoy Southern Indian food that has a Malaysian twist here.,Restaurant,location,MTB,3,2.755076,101.702598,,\/assets\/images\/Main Terminal Building (MTB)\/Level 3\/Shop And Dine\/Ali Maju\/square 1 Ali Maju.jpg,\/assets\/images\/Main Terminal Building (MTB)\/Level 3\/Shop And Dine\/Ali Maju\/Banner 1 Ali Maju.jpg,,,
,klia2,en,ION GIZMOS,Ion Gizmos is the only APR store in a Duty Free travel retail environment. This store has duty free prices which are lower than downtown stores. Also Ion Gizmos is the only store in klia2 where you can purchase all the latest Apple products. We carry all Apple branded products and also popular compatible products from licenced apple suppliers.,Shopping,location,,2,2.739709,101.688976,,\/assets\/images\/klia2\/Satellite Building\/Level 2\/Shop&Dine\/Ion Gizmos\/IG_Squ.jpg,\/assets\/images\/klia2\/Satellite Building\/Level 2\/Shop&Dine\/Ion Gizmos\/IG_Ban.jpg,,,
,klia2,en,FURLA,Furla is an Italian luxury goods company that was created by the Furlanetto family in 1927. Furla features Italian-designed products that range from handbags and shoes to accessories.,Shopping,location,,2,2.739736,101.689286,,\/assets\/images\/klia2\/Satellite Building\/Level 2\/Shop&Dine\/Furla\/Furla_Squ.jpg,\/assets\/images\/klia2\/Satellite Building\/Level 2\/Shop&Dine\/Furla\/Furla_Ban.jpg,,,
,klia2,en,COACH,"Famous the world over for the exquisite quality of their timeless designs, Coach creates beautiful leather goods and accessories.",Shopping,location,,2,2.739654,101.689222,,\/assets\/images\/klia2\/Satellite Building\/Level 2\/Shop&Dine\/Coach\/Coach_Squ.jpg,\/assets\/images\/klia2\/Satellite Building\/Level 2\/Shop&Dine\/Coach\/Coach_Ban.jpg,,,
,klia2,en,LACOSTE,"Founded in 1933 by professional tennis player Rene Lacoste, the French clothing company has since revolutionised the everyday wardrobe; beginning with the invention of the first ever cotton polo shirt. Each Lacoste piece is proudly finished with the iconic Croc logo, a symbol of causal style and effortless elegance.",Shopping,location,,2,2.739774,101.689303,,\/assets\/images\/klia2\/Satellite Building\/Level 2\/Shop&Dine\/Lacoste\/Lacoste_Squ.jpg,\/assets\/images\/klia2\/Satellite Building\/Level 2\/Shop&Dine\/Lacoste\/Lacoste_Ban.jpg,,,
,klia2,en,LITTLE MALAYSIA,"Mencari cenderahati buatan Malaysia untuk dibawa pulang di saat-saat terakhir? Little Malaysia menawarkan barangan seperti kemeja-T, magnet hiasan dan pelbagai lagi.",Shopping,location,,2,2.739368,101.689066,,\/assets\/images\/klia2\/Int Arrival (Level 2)\/Shop&Dine\/Little Malaysia\/Square 6 Little Malaysia.jpg,\/assets\/images\/klia2\/Int Arrival (Level 2)\/Shop&Dine\/Little Malaysia\/Banner 6 Little Malaysia.jpg,,,
,klia2,en,DELICACIES OF MALAYSIA,大马特产包装食品店让您发现大马最棒与独特的当地食品及特产。,Shopping,location,,2,2.739428,101.689076,,\/assets\/images\/klia2\/Int Arrival (Level 2)\/Shop&Dine\/Delicacies of Malaysia\/Square 7 Delicacies.jpg,\/assets\/images\/klia2\/Int Arrival (Level 2)\/Shop&Dine\/Delicacies of Malaysia\/Banner 7 Delicacies.jpg,,,
,klia2,en,Sensory Wall,Sensory Wall is an interactive touch panel that provide sensory feedback  and stimuli. The wall encourage interactive exploration and helping imaginations for individuals within the Autism Spectrum Disorder (ASD).,Sensory Wall,location,,3.5,2.742632,101.686419,,\/assets\/images\/Amenities\/Sensory Wall\/SW klia2\/SW1 Square.jpg,\/assets\/images\/Amenities\/Sensory Wall\/SW klia2\/SW1 Banner.jpg,,,
,klia2,en,Sensory Wall,Sensory Wall is an interactive touch panel that provide sensory feedback \nand stimuli. The wall encourage interactive exploration and helping imaginations for individuals within the Autism Spectrum Disorder (ASD).,Sensory Wall,location,,3,2.741978,101.68624,,\/assets\/images\/Amenities\/Sensory Wall\/SW klia2\/SW2 Square.jpg,\/assets\/images\/Amenities\/Sensory Wall\/SW klia2\/SW2 Banner.jpg,,,
,klia2,en,Sensory Wall,Sensory Wall is an interactive touch panel that provide sensory feedback  and stimuli. The wall encourage interactive exploration and helping imaginations for individuals within the Autism Spectrum Disorder (ASD).,Sensory Wall,location,,2,2.739397,101.688303,,\/assets\/images\/Amenities\/Sensory Wall\/SW klia2\/SW3 Square.jpg,\/assets\/images\/Amenities\/Sensory Wall\/SW klia2\/SW3 Banner.jpg,,,
,klia2,en,Sensory Wall,Sensory Wall is an interactive touch panel that provide sensory feedback \nand stimuli. The wall encourage interactive exploration and helping imaginations for individuals within the Autism Spectrum Disorder (ASD).,Sensory Wall,location,,2,2.741315,101.690875,,\/assets\/images\/Amenities\/Sensory Wall\/SW klia2\/SW4 Square.jpg,\/assets\/images\/Amenities\/Sensory Wall\/SW klia2\/SW4 Banner.jpg,,,
,klia2,en,Sensory Wall,【感触墙】是个提供感触作用及刺激的互动式触摸面板。此墙促进互动及探索的兴致，更能协助患者激发想象力。,Sensory Wall,location,,2,2.739397,101.688303,,\/assets\/images\/Amenities\/Sensory Wall\/SW klia2\/SW3 Square.jpg,\/assets\/images\/Amenities\/Sensory Wall\/SW klia2\/SW3 Banner.jpg,,,
,klia2,en,Sensory Wall,【感触墙】是个提供感触作用及刺激的互动式触摸面板。此墙促进互动及探索的兴致，更能协助患者激发想象力。,Sensory Wall,location,,2,2.741315,101.690875,,\/assets\/images\/Amenities\/Sensory Wall\/SW klia2\/SW4 Square.jpg,\/assets\/images\/Amenities\/Sensory Wall\/SW klia2\/SW4 Banner.jpg,,,
,klia2,en,Sensory Wall,【感触墙】是个提供感触作用及刺激的互动式触摸面板。此墙促进互动及探索的兴致，更能协助患者激发想象力。,Sensory Wall,location,,3,2.741978,101.68624,,\/assets\/images\/Amenities\/Sensory Wall\/SW klia2\/SW2 Square.jpg,\/assets\/images\/Amenities\/Sensory Wall\/SW klia2\/SW2 Banner.jpg,,,
,klia,en,Calm Room,"A safe space, providing a much-needed sense of calm and comfort to individuals within the Autism Spectrum Disorder (ASD) to help regulate their emotions.",Calm Room,location,MTB,5,2.753198,101.704072,,\/assets\/images\/Amenities\/Calm Room\/CR_KLIA Square.jpg,\/assets\/images\/Amenities\/Calm Room\/CR_KLIA Banner.jpg,,,
,klia,en,Sensory Wall,Sensory Wall is an interactive touch panel that provide sensory feedback  and stimuli. The wall encourage interactive exploration and helping imaginations for individuals within the Autism Spectrum Disorder (ASD).,Sensory Wall,location,MTB,3,2.753771,101.704884,,\/assets\/images\/Amenities\/Sensory Wall\/SW KLIA\/SW3 Square.jpg,\/assets\/images\/Amenities\/Sensory Wall\/SW KLIA\/SW3 Banner.jpg,,,
,klia,en,Sensory Wall,Sensory Wall is an interactive touch panel that provide sensory feedback and stimuli. The wall encourage interactive exploration and helping imaginations for individuals within the Autism Spectrum Disorder (ASD).,Sensory Wall,location,MTB,3,2.754083,101.705517,,\/assets\/images\/Amenities\/Sensory Wall\/SW KLIA\/SW4 Square.jpg,\/assets\/images\/Amenities\/Sensory Wall\/SW KLIA\/SW 4 Banner.jpg,,,
,klia,en,Sensory Wall,Sensory Wall is an interactive touch panel that provide sensory feedback and stimuli. The wall encourage interactive exploration and helping imaginations for individuals within the Autism Spectrum Disorder (ASD).,Sensory Wall,location,MTB,3,2.753565,101.706581,,\/assets\/images\/Amenities\/Sensory Wall\/SW KLIA\/SW6 Square.jpg,\/assets\/images\/Amenities\/Sensory Wall\/SW KLIA\/SW6 Banner.jpg,,,
,klia,en,Sensory Wall,Sensory Wall is an interactive touch panel that provide sensory feedback stimuli. The wall encourage interactive exploration and helping imaginations for individuals within the Autism Spectrum Disorder (ASD).,Sensory Wall,location,MTB,5,2.754659,101.704225,,\/assets\/images\/Amenities\/Sensory Wall\/SW KLIA\/SW1 Square.jpg,\/assets\/images\/Amenities\/Sensory Wall\/SW KLIA\/SW1 Banner.jpg,,,
,klia,en,Sensory Wall,Sensory Wall is an interactive touch panel that provide sensory feedback  and stimuli. The wall encourage interactive exploration and helping imaginations for individuals within the Autism Spectrum Disorder (ASD).,Sensory Wall,location,MTB,5,2.75469,101.704268,,\/assets\/images\/Amenities\/Sensory Wall\/SW KLIA\/SW2 Square.jpg,\/assets\/images\/Amenities\/Sensory Wall\/SW KLIA\/SW2 Banner.jpg,,,
,klia2,en,SUNGLASSES BOUTIQUE,The SUNGLASSES retail concept outlet is a unique eyewear outlet that offers a large selection of the latest trendy sunglasses.,Shopping,location,,3,2.744071,101.68602,,,,,,
,klia2,en,CHATIME,The word 'cha' means tea. However Chatime means much more than just 'teatime'. We're changing the way the world drinks tea.,Restaurant,location,,3,2.74321,101.685767,,,,,,
,klia2,en,VICTORIA'S SECRET,"Victoria’s Secret Beauty offers customers access to an assortment of the best-selling Victoria’s Secret Beauty products, from prestige fragrances to body care.",Shopping,location,,2,2.739922,101.6892,,,,,,
,klia,en,Sensory Wall,Sensory Wall is an interactive touch panel that provide sensory feedback  and stimuli. The wall encourage interactive exploration and helping imaginations for individuals within the Autism Spectrum Disorder (ASD).,Sensory Wall,location,STB,P,2.747137,101.712721,,\/assets\/images\/Amenities\/Sensory Wall\/SW KLIA\/SW5 Square.jpg,\/assets\/images\/Amenities\/Sensory Wall\/SW KLIA\/SW5 Banner.jpg,,,
,klia2,en,CHARLES & KEITH,"From its humble beginnings in 1996, Charles & Keith is now synonymous with trendy style and quality assurance.",Shopping,location,,2,2.739783,101.689027,,\/assets\/images\/klia2\/Arrival Hall (Level 2)\/Shop&Dine\/CHARLES & KEITH\/Square33.jpg,\/assets\/images\/klia2\/Arrival Hall (Level 2)\/Shop&Dine\/CHARLES & KEITH\/Banner33.jpg,,,
,klia,en,SEAL & GO,Seal & Go menawarkan perkhidmatan pembalutan kedap bagasi yang kemas dan rapi bagi perlindungan bagasi anda.,Baggage Wrap,location,MTB,5,2.75516,101.705143,,\/assets\/images\/MTB\/Level 5\/Traveller\/Seal & Go\/Seal&Go_Squ.jpg,\/assets\/images\/MTB\/Level 5\/Traveller\/Seal & Go\/Seal&Go_Ban.jpg,,,
,klia,en,SEAL & GO,Seal & Go will help to protect will help to protect your luggage by wrapping it with tamper-resistant plastic film. Just wrap and go on your next travel trip!,Baggage Wrap,location,MTB,5,2.75516,101.705143,,\/assets\/images\/MTB\/Level 5\/Traveller\/Seal & Go\/Seal&Go_Squ.jpg,\/assets\/images\/MTB\/Level 5\/Traveller\/Seal & Go\/Seal&Go_Ban.jpg,,,
,klia2,en,MICHAEL KORS,Michael Kors is the leading American fashion designer for luxury accessories and sportswear.,Shopping,location,,2,2.739626,101.689193,,\/assets\/images\/klia2\/Satellite Building\/Level 2\/Shop&Dine\/Micheal Kors\/Square.jpg,\/assets\/images\/klia2\/Satellite Building\/Level 2\/Shop&Dine\/Micheal Kors\/Banner.jpg,,,
,klia2,en,AIRSIDE SHOPPE,"From tidbits to travel toiletries, the convenience store in KLIA is stocked with items that you would need for your journey.",Shopping,location,,1,2.741293,101.69131,,\/assets\/images\/klia2\/Domestic Dep&Arr\/1A(J)\/Shop&Dine\/Airside shoppe\/Square21.jpg,\/assets\/images\/klia2\/Domestic Dep&Arr\/1A(J)\/Shop&Dine\/Airside shoppe\/Banner21.jpg,,,
